R,45,$11.31
R,18,$11.63
R,103,$6.47
S,93,
R,131,$6.02
R,160,$2.66
R,259,$5.34
P,11,
R,61,$17.28
P,17,
P,23,
P,72,
R,125,$3.96
P,33,
S,124,
P,38,
S,139,
R,165,$9.08
R,130,$11.32
S,39,
R,190,$7.24
R,30,$19.75
S,165,
R,155,$17.36
P,39,
S,148,
P,53,
S,141,
R,91,$9.00
S,140,
R,147,$5.38
S,8,$17.77
P,27,
R,57,$17.05
S,170,$17.89
R,83,$12.62
P,50,
S,133,$6.81
P,39,
R,263,$15.96
S,9,$2.48
P,73,
R,147,$7.23
S,148,$13.43
P,64,
R,86,$8.75
S,155,$7.74
P,14,
R,264,$7.94
S,8,$2.01
S,100,
P,60,
R,96,$6.05
S,101,
P,56,
R,182,$7.73
P,11,
S,29,
P,29,
P,19,
R,257,$10.10
R,265,$8.12
R,1,$18.12
R,113,$9.84
P,38,
S,144,
R,239,$13.08
P,60,
P,37,
R,73,$3.07
R,173,$17.99
S,144,
R,7,$4.70
P,13,
P,27,
P,33,
P,44,
R,237,$9.86
R,200,$2.08
P,68,
R,44,$11.27
P,20,
R,111,$3.92
S,53,
R,104,$12.93
R,142,$7.20
R,156,$19.33
R,237,$15.32
S,97,
P,30,
R,106,$1.05
S,138,
R,31,$9.15
P,26,
P,23,
R,12,$2.05
P,54,
S,94,
R,114,$9.97
P,59,
P,38,
R,26,$8.84
R,219,$5.99
R,197,$11.83
S,70,
R,201,$17.64
R,244,$10.05
S,110,
P,18,
S,58,
P,71,
S,113,
S,159,
S,123,
S,93,
P,51,
S,5,
S,20,
S,79,
P,74,
R,95,$4.92
S,164,
P,38,
R,184,$4.65
P,21,
R,121,$5.70
R,177,$4.11
S,105,
P,14,
P,31,
S,76,
R,199,$2.63
S,109,
P,41,
P,38,
P,44,
P,70,
S,108,
P,59,
R,5,$12.94
S,143,
S,36,
S,66,
R,248,$15.07
P,28,
R,77,$8.49
R,87,$10.01
P,70,
R,3,$8.25
R,203,$5.77
P,66,
R,233,$1.54
R,221,$17.55
S,110,
S,67,
S,155,
R,72,$7.42
R,11,$5.81
R,221,$1.66
R,174,$2.36
R,1,$12.06
R,122,$8.36
P,13,
R,17,$19.37
R,104,$12.33
P,25,
R,79,$3.85
R,186,$1.36
S,77,
P,26,
R,200,$2.84
R,230,$5.64
P,14,
S,8,
S,31,
S,37,
P,66,
P,40,
P,15,
R,125,$4.04
P,17,
R,172,$8.45
P,38,
P,61,
P,44,
S,163,
S,106,
S,13,
R,124,$1.11
S,106,
P,21,
S,114,
S,77,
P,67,
R,145,$19.17
P,22,
R,252,$11.09
P,48,
P,35,
P,42,
R,38,$19.43
R,11,$17.98
P,53,
P,50,
P,62,
R,49,$11.66
S,25,
P,14,
R,89,$3.90
P,30,
R,181,$8.97
R,60,$9.51
R,164,$16.19
S,150,
R,239,$4.64
P,48,
R,78,$6.99
S,125,
S,139,
R,233,$4.12
R,232,$9.87
S,164,
P,19,
P,67,
S,27,
P,51,
S,179,
R,244,$18.80
R,178,$13.41
S,13,
P,10,
R,258,$5.62
S,147,
S,41,
R,65,$1.53
P,53,
S,144,
P,45,
S,62,
P,28,
S,156,
P,35,
R,240,$7.87
P,46,
P,30,
P,14,
R,148,$19.87
P,21,
R,70,$6.60
R,111,$18.34
R,144,$6.83
P,10,
S,58,
R,195,$9.26
S,106,
R,163,$4.83
P,60,
S,146,
S,167,
S,88,
P,29,
P,28,
S,95,
R,196,$19.72
S,1,
R,206,$19.79
S,105,
S,8,
S,65,
S,141,
R,209,$6.35
S,129,
P,74,
S,23,
S,43,
P,17,
P,29,
R,77,$5.83
S,19,
R,88,$3.22
S,166,
R,192,$9.52
R,53,$6.87
P,13,
S,161,
R,19,$4.14
P,73,
R,81,$7.05
S,178,
S,164,
S,134,
R,120,$15.34
R,229,$8.73
P,28,
R,176,$1.94
R,122,$12.77
P,53,
R,216,$8.17
S,36,
P,51,
P,26,
R,139,$12.64
P,35,
S,81,
P,55,
S,27,
R,62,$5.99
S,118,
P,16,
S,72,
R,88,$16.49
R,160,$19.93
P,40,
R,82,$4.27
R,119,$4.68
S,126,
R,255,$8.13
S,160,
P,10,
R,33,$7.19
S,94,
S,81,
P,43,
R,46,$6.90
S,32,
S,79,
S,34,
S,113,
R,147,$4.14
P,61,
S,70,
S,165,
P,40,
R,165,$7.48
S,167,
S,99,
R,86,$7.76
S,43,
R,240,$16.93
R,42,$6.77
P,59,
P,66,
R,120,$17.49
P,33,
P,63,
R,177,$4.51
R,116,$14.45
P,27,
R,229,$5.18
P,61,
S,54,
R,137,$15.47
P,59,
S,154,
R,75,$12.97
S,145,
P,29,
R,135,$9.68
P,56,
R,89,$8.82
P,48,
R,144,$18.79
P,27,
R,234,$11.63
S,107,
P,26,
R,123,$1.23
P,30,
P,67,
P,24,
R,124,$18.00
P,75,
S,162,
P,16,
P,75,
R,76,$15.14
S,84,
P,41,
P,29,
S,168,
P,70,
R,106,$10.66
S,137,
S,78,
P,73,
R,50,$8.35
S,1,
P,15,
S,98,
R,191,$11.36
P,42,
S,161,
R,61,$17.15
P,38,
R,27,$1.21
S,176,
R,88,$11.29
R,34,$1.43
P,31,
R,263,$3.84
S,52,
R,251,$10.30
P,29,
S,133,
R,33,$17.67
S,175,
P,72,
R,233,$15.56
S,147,
R,238,$15.06
S,163,
S,7,
P,46,
S,2,
R,51,$15.61
S,138,
P,49,
R,107,$17.60
P,41,
P,35,
S,138,
P,36,
R,164,$8.95
S,68,
R,156,$18.22
P,16,
R,262,$18.17
P,31,
S,58,
R,164,$16.11
P,66,
R,219,$17.14
P,57,
P,37,
R,143,$1.98
P,55,
P,73,
S,49,
P,73,
R,148,$6.56
P,54,
P,20,
P,66,
P,24,
P,22,
S,138,
S,105,
R,115,$1.87
S,100,
S,98,
P,71,
R,21,$5.21
P,72,
R,210,$6.90
S,44,
S,179,
P,38,
R,128,$10.91
P,26,
S,41,
P,27,
R,238,$1.70
S,112,
P,73,
R,24,$2.97
R,36,$4.83
P,37,
P,58,
R,139,$8.07
P,32,
S,48,
R,40,$14.17
P,36,
R,54,$17.28
R,207,$2.47
P,63,
R,55,$10.55
S,174,
R,136,$17.55
R,117,$13.87
P,64,
R,84,$5.40
P,40,
R,201,$18.61
S,85,
R,4,$15.36
S,36,
S,53,
R,135,$1.54
P,48,
P,16,
S,148,
P,18,
R,186,$18.77
R,59,$18.13
R,160,$19.81
P,63,
P,53,
P,40,
R,252,$6.25
S,9,
R,68,$9.56
P,52,
R,97,$15.17
R,18,$8.83
S,102,
S,28,
R,124,$6.25
P,25,
R,55,$11.13
R,92,$9.47
P,35,
R,58,$13.89
P,43,
P,11,
R,206,$18.23
P,71,
R,116,$19.82
P,16,
S,71,
R,141,$7.17
P,42,
S,30,
P,19,
R,67,$10.68
S,54,
S,20,
P,22,
S,129,
P,43,
S,100,
R,74,$17.48
P,42,
S,90,
P,54,
P,32,
S,125,
S,85,
P,61,
P,56,
S,79,
P,61,
S,12,
R,30,$3.92
P,48,
S,134,
R,81,$7.15
S,76,
S,8,
S,127,
S,48,
P,23,
S,73,
R,177,$17.31
R,137,$12.27
P,14,
P,14,
S,54,
R,173,$9.60
S,29,
R,73,$8.13
P,11,
S,36,
P,57,
R,206,$3.07
P,17,
R,8,$14.12
R,5,$4.01
R,28,$5.30
S,105,
S,86,
R,72,$3.88
P,65,
R,214,$15.24
R,212,$12.84
P,34,
R,245,$15.11
P,57,
R,215,$19.10
S,175,
R,51,$2.90
P,31,
S,78,
R,242,$14.51
R,203,$11.93
S,34,
S,38,
P,49,
R,9,$14.24
P,44,
R,103,$1.32
P,35,
P,13,
R,187,$10.70
P,47,
S,98,
S,115,
S,103,
S,170,
P,49,
P,17,
R,248,$6.06
R,64,$3.60
P,28,
R,117,$8.40
P,35,
P,21,
P,22,
P,16,
R,156,$11.28
R,194,$18.07
P,20,
S,34,
R,101,$8.59
P,24,
R,73,$1.37
S,102,
S,129,
S,105,
S,60,
S,108,
S,124,
R,258,$3.26
P,67,
P,46,
S,180,
R,48,$4.77
R,190,$9.28
S,47,
R,162,$11.99
P,15,
P,62,
P,72,
R,41,$1.79
R,143,$10.91
P,55,
R,193,$15.71
S,111,
P,10,
P,42,
R,37,$12.38
P,51,
S,176,
P,11,
S,19,
P,70,
R,81,$9.54
R,55,$1.39
S,156,
R,56,$4.73
S,50,
R,93,$6.18
R,206,$6.79
S,127,
S,33,
R,121,$12.22
R,186,$10.81
P,36,
R,241,$10.36
P,11,
R,102,$16.80
S,30,
R,41,$14.92
P,45,
P,60,
R,205,$7.90
S,147,
R,122,$15.35
S,12,
P,14,
P,51,
S,171,
R,3,$12.07
R,194,$3.52
R,40,$10.34
P,35,
R,158,$12.54
R,113,$4.54
S,80,
S,13,
R,83,$19.52
P,40,
S,129,
R,170,$19.48
P,58,
S,57,
P,22,
S,12,
